QUEST_JOBSTEP_20150317_000001	ボコルとは…困難な道を選んじまったねぇ。{nl}冒険日誌の製造法を参考にして主だけの人形を作ってきてごらん。	보코르라. 어려운 길을 택하셨군요.{nl}모험일지의 제작법을 참고하여 당신만의 인형을 만들어 오세요.				보코르 마스터
QUEST_JOBSTEP_20150317_000002	自ら求めなければ手に入らないもんだよ。{nl}人形の製造法は自分の冒険日誌を参考にするんだね。	스스로 구하지 않으면 얻을 수 없습니다.{nl}인형의 제조법은 당신의 모험일지를 참고하세요.				보코르 마스터
QUEST_JOBSTEP_20150317_000003	新たなボコルが誕生したようだね。おめでとう。{nl}私がボコルの道を選択した時は、自分だけの人形を作ることから始めたもんだよ。{nl}	새로운 보코르의 탄생을 축하합니다.{nl}제가 보코르의 길을 선택했을 땐 나만의 인형을 만드는 것부터 시작했답니다.{nl}				
QUEST_JOBSTEP_20150317_000004	ペルタストマスター	펠타스타 마스터				
QUEST_JOBSTEP_20150317_000005	あなたが本当に私の教えを受けたいのなら、その資格があるか証明しなければなりません。{nl}課題を出します。水晶鉱山1階を占領しているゴブリンたちを退治してください。{nl}{nl}	그대가 정녕 제게 가르침을 받고 싶다면 그 자격이 있는지 증명해야 할 것입니다.{nl}과제를 드리지요. 수정광산 1층을 점령하고 있는 부베들을 처치하십시오.{nl}{nl}				
QUEST_JOBSTEP_20150317_000006	その程度もできないようではペルタストの名は語れませんよ。	그 정도도 해내지 못하고서야 어찌 펠타스타의 이름을 짊어진단 말입니까?				펠타스타 마스터
QUEST_JOBSTEP_20150317_000007	いいでしょう。{nl}あなたが成長して世界を守ってくれることを祈っています。	좋습니다.{nl}그대의 성장이 세상을 지키는 일이 되길 바라겠습니다.				펠타스타 마스터
QUEST_JOBSTEP_20150317_000008	ハイランダーマスター	하이랜더 마스터				
QUEST_JOBSTEP_20150317_000009	君が私の剣法を継承してくれるというのは実にありがたいが、ついてこられるのか疑問だな。{nl}水晶鉱山1階を占拠しているゴブリンたちを倒してきたら君を認めよう。	그대가 나의 검법을 계승하겠다는 건 참으로 고마운 일이나 제대로 따라올 수 있을지 의문이 드는군.{nl}수정광산 1층을 점거하고 있는 부베들을 처치하는 것으로 그대를 시험해 보겠다.				
QUEST_JOBSTEP_20150317_000010	急げ。{nl}課題とは言え、ゴブリンたちが鉱山の村の脅威となっていることは事実なのだ。	서둘러라.{nl}비록 입문 과제이지만 그 부베들이 광산 마을의 위협이 되는 건 사실이니까.				하이랜더 마스터
QUEST_JOBSTEP_20150317_000011	いいだろう。ハイランダーへの入門を許可する。{nl}これからも精進するように。	결과가 좋군. 그대의 하이랜더 입문을 허락하겠다.{nl}앞으로도 열심히 정진하도록.				하이랜더 마스터
QUEST_JOBSTEP_20150317_000012	パイロマンサーマスター	파이로맨서 마스터				
QUEST_JOBSTEP_20150317_000013	私から魔法を学びたいという熱意は分かるけど、誰にでも教えてあげるわけじゃないの。{nl}私の研究にどれだけ貢献してくれるかで判断するわ。	저에게 마법을 배우겠다는 열의는 알겠습니다만, 아무에게나 가르쳐 드릴 순 없습니다.{nl}제 연구를 얼마나 잘 보조해 주시는지에 따라서 결정하겠어요.				
QUEST_JOBSTEP_20150317_000014	ご苦労様。おかげで次の研究段階に進めるわ。{nl}約束通り、パイロマンサーの魔法を教えてあげるわね。	수고하셨어요. 덕분에 다음 연구단계로 넘어갈 수 있겠네요.{nl}약속대로 파이로맨서의 마법을 가르쳐 드리지요.				
QUEST_JOBSTEP_20150317_000015	おや、いらっしゃい。話は聞いてるよ。{nl}いいかい？よく聞きな。これから召喚する悪霊を退治するんだ。{nl}その過程で発生する特別な波長を記録するからね。	잘 오셨어요. 당신이 해 주실 일은 제가 소환한 악령을 처치해 주시면 됩니다.{nl}그 과정에서 뿜어져 나오는 특별한 파장을 기록하겠어요.				
QUEST_JOBSTEP_20150317_000016	私は物質の第4形態について研究中でね。{nl}でもこの研究は、魂を操るボコルマスターの協力がなければ不可能なの。	전 물질의 제4번째 상태에 대해 연구중입니다.{nl}영혼을 다루는 보코르 마스터님의 협조가 없으면 절대로 불가능한 일이지요.				
QUEST_JOBSTEP_20150317_000017	これだけやれれば上出来さね。{nl}パイロマンサーマスターに必要な材料は全て揃ったと伝えておくれ。	네. 아주 훌륭하군요.{nl}파이로맨서 마스터께 필요한 자료는 전부 모였다고 전해 드리세요.				보코르 마스터
QUEST_JOBSTEP_20150317_000018	いいわ。{nl}この研究はボコルマスターと進行中だから、彼女からやるべきことを聞いてちょうだい。	좋습니다. {nl}그 연구는 보코르 마스터님과 함께 진행중이니 그분께 가면 할 일을 일러주실 겁니다.				
QUEST_JOBSTEP_20150317_000019	クリオマンサーマスター	크리오맨서 마스터				
QUEST_JOBSTEP_20150317_000020	私からクリオマンサーの魔法を学びたいのですね。{nl}もちろん教えて差し上げましょう。ただし、一つだけ条件があります。	제게 크리오맨서의 마법을 배우고 싶으시다고요.{nl}물론 가르쳐 드리지요. 한 가지 일만 잘 처리해 주신다면요.				
QUEST_JOBSTEP_20150317_000021	パイロマンサーマスターは現在留守中です。{nl}まぁ、とても簡単なことですよ。	파이로맨서 마스터는 현재 부재중이십니다.{nl}뭐, 아주 쉬운 일입니다.				크리오맨서 마스터
QUEST_JOBSTEP_20150317_000022	罪悪感など必要ありません。貴方はうまくやってくれました。{nl}これからは私があなたの後押しをしっかりいたしますのでご心配なく。	죄책감 따윈 신경 쓰지 마세요. 아주 잘해주셨습니다.{nl}이제부턴 제가 당신의 뒤를 봐 드릴 테니 너무 걱정하지 않으셔도 됩니다.				크리오맨서 마스터
QUEST_JOBSTEP_20150317_000023	パイロマンサーの部屋にこっそり入って、そこにある箱を開けるのです。{nl}その中にあるものは…殺してしまえばいいでしょう。	파이로맨서의 방에 몰래 잠입해 그곳에 있는 상자를 여는 것입니다.{nl}그 안에 있는 것은.. 죽여버리는 게 좋겠네요.				
QUEST_JOBSTEP_20150317_000024	これだけ集められれば十分よ。{nl}上位魔法は難しいから根性が必要になってくるわ。あなたならきっと大丈夫ね。	이 정도면 충분하군.{nl}내 마법은 어려우니까 열심히 따라와야 할 거야.				
QUEST_JOBSTEP_20150317_000025	私から学びたいという心構えはいいが、代わと言っては何だが一つ頼みがある。{nl}やってもらえなければ続きは話せないな。{nl}	내게 뭘 배우겠다는 마음가짐은 좋다만 대신 한 가지 부탁이 있네.{nl}들어주겠다고 해야만 이야기를 계속할 수 있어.{nl}				쿼렐슈터 마스터
QUEST_JOBSTEP_20150317_000026	リディア・シャッフェンの物なら我らアーチャーにとっては聖物みたいなものだ。{nl}全財産を投げ打ってでも手に入れたい。	리디아 샤펜의 물건이라니, 우리 궁수들에겐 성물 같은 존재라고.{nl}할 수만 있다면 전 재산을 팔아서라도 갖고 싶군.				쿼렐슈터 마스터
QUEST_JOBSTEP_20150317_000027	これを直接目にする日が来るとはな。{nl}ありがとう。これから徹底的に指導してやるから覚悟しておいたほうがいいぞ。	이걸 직접 내 눈으로 보게 될 줄이야.{nl}고맙네. 이제부턴 철저히 지도해 줄 테니 각오 하는 게 좋을 거야.				쿼렐슈터 마스터
QUEST_JOBSTEP_20150317_000028	星の塔で消えた望遠鏡のレンズが水晶鉱山1階にあるそうだ。{nl}他のマスターたちが気づく前にレンズを回収してきてくれたら私のスキルを教えてやろう。	별의 탑에서 사라진 망원경의 렌즈가 수정광산 1층에 있다더군.{nl}다른 마스터들이 눈치채기 전에 빨리 그 렌즈를 가져다주면 내 기술을 가르쳐 주겠네.				쿼렐슈터 마스터
QUEST_JOBSTEP_20150317_000029	私から弓を学びたい…か。それならあなたに一つお願いするわ。{nl}それをどれだけうまくやれるかで決めようと思うの。	나에게 활을 배우고 싶다라.. 그렇다면 당신에게 한 가지 의뢰를 하지. {nl}그 일을 얼마나 잘 해내느냐에 따라서 당신을 가르칠지 결정하겠어.				
QUEST_JOBSTEP_20150317_000030	エボニフォン…許せない。	에보니폰.. 용서할 수 없어.				레인저 마스터
QUEST_JOBSTEP_20150317_000031	ハンターマスター	헌터 마스터				
QUEST_JOBSTEP_20150317_000032	本を全部集めたのですね。ご苦労様でした。{nl}約束通りあなたにハンターのスキルを教えましょう。	책이 전부 모였군요. 수고하셨어요.{nl}약속한 대로 당신에게 헌터의 기술을 가르쳐 드리겠어요.				
QUEST_JOBSTEP_20150317_000033	実力は確かなようね。これから私があなたを指導するわ。{nl}私の期待にちゃんと応えてね。	성과는 확실하군. 이제부터 내가 널 가르치지.{nl}내 기대에 확실히 부응해 주길 기대하겠어.				
QUEST_JOBSTEP_20150317_000034	水晶鉱山1階のバットたちは特別な毒を持っているらしいの。{nl}きっと暗殺者エボニフォンが使う毒だわ。その毒を採取してきて。	수정광산 1층의 박쥐들은 특별한 독을 품고 있다는 소문을 들었어.{nl}분명히 암살자 에보니폰이 쓰는 독일 거야. 그 독을 채취해 와.				레인저 마스터
QUEST_JOBSTEP_20150317_000035	バーバリアンマスター	바바리안 마스터				
QUEST_JOBSTEP_20150317_000036	剣と剣を合わせることで相手の技量が分かるものだ。{nl}お前の実力を見せてみろ。俺を納得させられれば、真のバーバリアンに導いてやろう。	검과 검을 맞댐으로써 상대의 기량을 알 수 있지.{nl}내게 전사의 자격을 증명하면 진정한 바바리안으로 이끌어 주겠다.				
QUEST_JOBSTEP_20150317_000037	資質は十分だな。{nl}私がこれからバーバリアンにしてやろうじゃないか。	전사의 자격은 충분하다. {nl}내가 진짜 바바리안으로 만들어 주지.				
QUEST_JOBSTEP_20150317_000038	槍術を学びたいというあなたの気持ち、よく分かります。{nl}私の出す課題をこなしてきたら、私の槍術をお教えしましょう。	창으로써 강해지고 싶은 당신의 마음은 잘 알겠습니다.{nl}제가 드리는 과제를 수행해 오신다면 저의 창술을 가르쳐 드리겠습니다.				
QUEST_JOBSTEP_20150317_000039	棘心の谷のグロルの皮。落雨林のチェイファラーの毒針。{nl}そして鉱山の村のユコプスの黒い粉を持ってきてください。	가시마음골의 그롤의 가죽. 낙우림의 체이퍼러의 독침.{nl}그리고 광산 마을의 유코푸스의 검은 가루를 제게 가져오세요.				
QUEST_JOBSTEP_20150317_000040	あなたの情熱が伝わりました。{nl}あなたになら槍術を習得する資格があるでしょう。	당신이 가진 강해지고자 하는 마음에 대해 잘 알겠어요.{nl}당신이라면 창과 함께할 자격이 있습니다.				하플라이트 서브 마스터
QUEST_JOBSTEP_20150317_000041	サイコキノマスター	사이코키노 마스터				
QUEST_JOBSTEP_20150317_000042	サイコキノを理解したければ、しばらく私の助手として働いてみるのはどうだ？{nl}非常に見栄えのいい分野だということは私が保証しよう。	사이코키노를 이해하고 싶다면 잠시 나의 조수로 일해보는 것은 어떻겠나.{nl}굉장히 멋진 분야라는 것은 내 보증 하겠네.				
QUEST_JOBSTEP_20150317_000043	とりあえず棘心の谷にいるマッシュムを倒してしべを集めてきてくれ。{nl}壊れやすいから完全体のものを手に入れるのが難しいんだ。	일단 가시마음골에 있는 메슘을 잡아서 꽃술을 모아 주게.{nl}쉽게 망가져서 온전한 걸 구하기가 쉽지 않아.				
QUEST_JOBSTEP_20150317_000044	よし。マッシュムのしべがちゃんと生きているな。{nl}君は今から実に面白いものを目にすることになるだろう。	좋군. 메슘의 꽃술이 온전히 살아 있어.{nl}이제 정말 재미있는 것을 보게 될 걸세.				
QUEST_JOBSTEP_20150317_000045	棘心の谷のギンターラ街道に向かえ。{nl}私が設置しておいた実験用マッシュム人形にこの薬をかけて結果を教えてほしい。	이제 가시마음골의 긴타라 가도로 가게.{nl}내가 설치해 놓은 실험용 메슘 인형에 이 물약을 뿌리고 결과를 내게 알려 주게.				
QUEST_JOBSTEP_20150317_000046	周りのマッシュムたちが君を攻撃しただって？{nl}マッシュム人形をマッシュムが仲間だと認識したのだな。成功だ！{nl}	주변의 메슘들이 자네를 공격했다고?{nl}메슘 인형을 메슘이 친구라 받아 들였으니 성공이라고 봐야겠어.{nl}				
QUEST_JOBSTEP_20150317_000047	ご苦労だった。{nl}優秀な助手になってくれたから、サイコキノについて本格的に教えよう。	수고했네.{nl}좋은 조수가 되어 주었으니 사이코키노에 대해 본격적으로 가르쳐 주겠네.				
