QUEST_LV_0300_20150323_000001	カリス騎士団を支援するため、本部から離れてここに来ました。{nl}気になることがあるなら、ベルクティ広場にある本部に問い合わせてください。	칼리스 기사단을 지원하기 위해 본부에서 떨어져 나와 이런 곳에 있습니다.{nl}궁금한 것이 있다면 베르크티 광장에 있는 본부 쪽으로 알아보시기 바랍니다.				경비병 라일
QUEST_LV_0300_20150323_000002	あっしは元々行商人でしてね。{nl}神樹の日以降、ここが一番安全そうなんで住み付いたんですが…違ったみたいですね。	전 원래 행상인이었습죠.{nl}신수의 날 이후 여기가 제일 안전한 것 같아서 정착했는데.. 아니었나봅니다요.				상인 둘케
QUEST_LV_0300_20150323_000003	あちこち渡り歩きながら、啓示者だっていう人たちを何人も見かけましたよ。{nl}あっしが思うに…あなたが特別なのは、ただ強いからじゃないんでしょうね。	여기저기 떠돌아다니면서 계시자라는 사람들을 많이 만나 봤습죠.{nl}제 생각엔.. 계시자님이 특별한 건 단지 강하기 때문만은 아닐 거라는 겁니다요.				상인 둘케
QUEST_LV_0300_20150323_000004	女神と司祭様たちのせいにしてるわけじゃないよ。{nl}でも、ただ信じて待てというのはちょっと酷いと思わない？{nl}	여신과 사제님들을 탓하자는 건 아니야.{nl}하지만 무작정 믿고 기다리라는 건 좀 너무한 것 같아.{nl}				주민 에밀
QUEST_LV_0300_20150323_000005	村でしっかり封印されてるんだから、気にする必要無いでしょ？{nl}なのに司祭様たちは怖がらせるようなことばっかり言うんだ。	마을에 있는 봉인이 닫혀 있으니까 봉인이지 무슨 대수겠어?{nl}사제님들이 괜히 겁을 주는 거라고 생각해.				주민 에밀
QUEST_LV_0300_20150323_000006	司祭様たちは村にある封印がどんなに重要な物なのか、知られたくないんです。{nl}自分たちだけが犠牲になればいいんだって…。	사제님들은 마을에 있는 봉인이 얼마나 중요한 건지 알게 되길 원치 않으세요.{nl}자신들이 희생하면 그걸로 된 거라면서요.				약사 티아나
QUEST_LV_0300_20150323_000007	司祭様たちが村の人たちともっと腹を割って話せたらいいのに。{nl}この状態でもし何か起きたら…。	사제님들이 마을사람들과 좀 더 솔직한 이야기를 나누었으면 하는 마음도 있어요.{nl}이러다 정말 큰일이라도 벌어진다면..				약사 티아나
QUEST_LV_0300_20150323_000008	邪悪な気は森を腐らせ、生命が生きられない場所にしてしまいます。{nl}それがこの村の抱える最大の問題でもあるのですが…。	사악한 기운은 숲을 썩게 만들어 생명이 살아갈 수 없는 땅으로 만들어 버립니다.{nl}저희 마을이 품고 있는 가장 큰 문제이기도 하지요.				사제 다지네
QUEST_LV_0300_20150323_000009	女神よ…。{nl}村の封印は本当に大丈夫なんでしょうか…。	여신이시여..{nl}마을의 봉인은 정말 괜찮은 걸까요..				사제 다지네
QUEST_LV_0300_20150323_000010	これからも封印を狙って魔族の攻撃が続くでしょう。{nl}女神アウステヤがご不在の状態でいつまで耐えられるか…。	앞으로도 봉인을 노리고 마족들이 끊임없이 공격해오겠지요.{nl}아우스테야 여신께서 부재중이신 상태로 언제까지 버틸 수 있을지..				사제 다지네
QUEST_LV_0300_20150323_000011	司祭だけで解決しようとしたのは大きな過ちでした。{nl}これからは村の人々にもすべての事実を伝え、ゆっくり話し合うつもりです。	사제들끼리만 일을 해결하려고 했던 저희의 잘못도 큽니다.{nl}이제부턴 마을 사람들에게 모든 사실을 고하고 천천히 논의해 볼 생각입니다.				사제 다지네
QUEST_LV_0300_20150717_000012	探知機作動チェック(1)	탐지기 작동 점검(1)				
