QUEST_UNUSED_20150317_000001	なるほど、パードナーマスターへの道だな。武運を祈る！	아하, 파드너 마스터에게로 가는 길이로군. 무운을 빕지요.				
QUEST_UNUSED_20150317_000002	長い道のり気を付けて。	먼 길 조심하십쇼.				
QUEST_UNUSED_20150317_000003	これでパードナーへ入門が許されるだろう。富も女神の大きな祝福であることを留意してくれ。	그래. 이거야. 파드너로 입문을 허락하지.{nl}면죄부를 산 은화 한 닢이 헌금함에 떨어지는 소리가 우릴 구원으로 이끌지.{nl}재물 또한 여신의 커다란 축복이라는 것을 명심하게.				
QUEST_UNUSED_20150317_000004	早くパードナーマスターのところへ戻ってみよう。{nl}その水の瓶を長い時間を探しておられたよ。	어서 파드너 마스터께 돌아가 보게.{nl}그 불항아리를 아주 오랫동안 찾고 계셨거든.				
QUEST_UNUSED_20150317_000005	門番フクロウの彫像	문지기 부엉이 조각상				
QUEST_UNUSED_20150317_000006	テスラ様は木を掘って私たちを作ってくれました。{nl}だから、私たちフクロウはいつも恩返しをしたいと思ってるんですよ。{nl}	테슬라님은 나무를 깎아서 우릴 만드셨어요.{nl}그래서 우리 부엉이들은 항상 은혜를 갚고 싶어 한답니다.{nl}				문지기 부엉이 조각상
QUEST_UNUSED_20150317_000007	そこでなんですけど、お願いしたいことがあるんです。{nl}大聖堂で大理石の欠片を集めてテスラ様に届けてくれませんか？	그래서 말인데요. 부탁드릴 것이 있어요.{nl}대성당에서 대리석 조각을 모아서 테슬라님께 전해 주실 수 있을까요?				문지기 부엉이 조각상
QUEST_UNUSED_20150317_000008	大聖堂の大理石なら、テスラ様に喜んでもらえると思うんです。	대성당의 대리석이라면 테슬라님께서 좋아하시겠지요?				문지기 부엉이 조각상
QUEST_UNUSED_20150317_000009	フクロウの彫像たちからの贈り物か？{nl}あのかわいい奴らこそが、わしの生きて来た証なんじゃよ。{nl}	부엉이 조각상들의 선물인가?{nl}그 귀여운 녀석들은 내 삶에 대한 증거이지. {nl}				조각가 테슬라
QUEST_UNUSED_20150317_000010	とにかく…何だか今日は良い事がありそうな気がしていたが…ありがたい事じゃの。	어쨌든.. 오늘 어쩐지 반가운 손님이 오실 것 같더라니, 고맙네그려.				조각가 테슬라
QUEST_UNUSED_20150317_000011	君をクラペダで初めて見た時は、その細い腕で剣を扱えるのかと心配していたが…。{nl}しかし、今は多くの者たちに賞賛される勇者中の勇者になったな。{nl}	자네를 클라페다에서 처음 봤을 땐 그 가녀린 팔로 검이나 휘두를 수 있을까 싶었었지.{nl}허나 지금은 많은 이들이 칭송하는 용사 중의 용사가 되었구나.{nl}				소드맨 마스터
QUEST_UNUSED_20150317_000012	だが、私は君の勇気をこの目で確認したいと思っている。{nl}この暗い森を魔気で覆うバンシー…。君にはピッタリの挑戦だろう。	하지만 난 자네의 용기를 직접 확인하고 싶어.{nl}이 어두운 숲을 사악한 기운으로 뒤덮는 밴시.. 자네에겐 적당한 도전이 아닌가 싶군.				소드맨 마스터
QUEST_UNUSED_20150317_000013	大したことではない。ただ狩るだけだからな。{nl}では、クラペダで待っているぞ。	별거 아닐세. 그저 사냥일 뿐이지.{nl}그럼, 클라페다에서 기다리고 있겠네.				소드맨 마스터
QUEST_UNUSED_20150317_000014	来たか。待っていたぞ。{nl}これなら君の勇気にふさわしい報酬だろう。	왔군. 기다리고 있었네.{nl}이 정도면 자네의 용기에 걸맞은 보상일 거야.				소드맨 마스터
QUEST_UNUSED_20150317_000015	フフ、本当に頑張るね。{nl}あんたがまだ見習いウィザードだった時を思い出したよ。あの時も頑張ってたよね…。{nl}	후후, 정말 열심이네. {nl}네가 아직 수습 위저드였을 때가 생각났어. 그때도 넌 참 열심이었지..{nl}				위저드 마스터
QUEST_UNUSED_20150317_000016	今のあんたがどれだけ成長したのか、見せてよ。{nl}この森を荒らすバンシーならちょうど良いんじゃない？	지금의 네가 얼마나 성장했는지 알고 싶어.{nl}이 숲을 더럽히는 밴시들이라면 네게 적당한 도전이 아닐까?				위저드 마스터
QUEST_UNUSED_20150317_000017	試験と言うより、良い事をするんだと思えばいいよ。{nl}じゃあ、後でクラペダで会おうね。	시험보다는 좋은 일을 한다고 생각하는 거야.{nl}그럼, 나중에 클라페다에서 또 만나.				위저드 마스터
QUEST_UNUSED_20150317_000018	うん、見事に倒して来たね。{nl}次に会う時にはどんな姿になってるか、楽しみだな。	그래, 멋지게 해치웠네.{nl}다음에 만날 땐 어떤 모습일지 더욱 궁금해지는걸?				위저드 마스터
QUEST_UNUSED_20150317_000019	お前を初めて見た時はとても粗雑ですぐ死なないだろうと思ったよ。{nl}今は私よりもさらに有名になったようだな。{nl}	널 처음 보았을 땐 너무 어설퍼서 금방 죽지 않을까.. 싶었는데.{nl}지금은 나보다도 더 유명해진 것 같아.{nl}				아처 마스터
